Alias,PointName,Geom,LatitudeDD,LongitudeDD,LatitudeDMS,LongitudeDMS,Northing,Easting,EllipsoidHeight,Elevation,SemiMajorAxis,SemiMinorAxis,CircularError95,Orientation,HeightError,SigmaX,SigmaY,SigmaZ,AdjustmentDate,AdjustmentSource,Network,RiverNetwork,RiverMile,DatabaseName,PointCode,PointUse,Monumentation,Constrained,SpatialReferenceId
064_999L,CTH064998.624L,POINT (222544 571419 800.192),36.152331457,-111.814600696,,,571418.787,222543.997,800.192,800.192,0.012,0.011,,-44°11'50",,0.011,0.011,0.012,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,64.999,COR064998.624L,CTH,Horizontal Check,NOT MONUMENTED,False,1
065L,CTH064999.635L,POINT (222545 571417 799.898),36.152318546,-111.81459231,,,571417.355,222544.753,799.898,799.898,0.011,0.011,,-44°31'23",,0.011,0.011,0.012,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65,COR064999.635L,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_001L,CTH065000.815L,POINT (222554 571414 803.934),36.152287269,-111.814490165,,,571413.895,222553.947,803.934,803.934,0.012,0.011,,-46°23'48",,0.011,0.011,0.012,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.001,COR065000.815L,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_034R,CTH065034.115R,POINT (222418 571350 800.58),36.15171371,-111.81599908,,,571350.116,222418.24,800.58,800.58,0.008,0.005,,60°06'58",,0.006,0.007,0.005,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.034,COR065034.115R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_038R,CTH065038.214R,POINT (222422 571344 800.741),36.151657445,-111.815954204,,,571343.878,222422.284,800.741,800.741,0.011,0.006,,60°39'08",,0.007,0.01,0.006,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.038,COR065038.214R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_083R,CTH065083.415R,POINT (222373 571275 803.472),36.151040931,-111.816507874,,,571275.423,222372.534,803.472,803.472,0.008,0.002,,71°18'14",,0.003,0.007,0.002,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.083,COR065083.415R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_1R,CTH065099.515R,POINT (222381 571257 802.791),36.150872422,-111.816410503,,,571256.736,222381.315,802.791,802.791,0.007,0.002,,51°20'15",,0.005,0.006,0.002,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.1,COR065099.515R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_1R,CTH065099.635R,POINT (222360 571258 807.609),36.150885373,-111.81664398,,,571258.152,222360.305,807.609,807.609,0.011,0.01,,-60°11'39",,0.01,0.011,0.01,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.1,COR065099.635R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_102R,CTH065101.624R,POINT (222365 571254 807.672),36.150852173,-111.816589755,,,571254.473,222365.188,807.672,807.672,0.007,0.001,,71°40'57",,0.003,0.007,0.001,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.102,COR065101.624R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_103R,CTH065102.614R,POINT (222366 571253 807.638),36.150839479,-111.81658372,,,571253.065,222365.733,807.638,807.638,0.007,0.001,,69°53'43",,0.003,0.007,0.001,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.103,COR065102.614R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_113R,CTH065113.315R,POINT (222382 571233 803.761),36.150655995,-111.816405288,,,571232.724,222381.809,803.761,803.761,0.007,0.001,,17°43'10",,0.006,0.002,0.001,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.113,COR065113.315R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_147R,CTH065147.294R,POINT (222380 571196 800.158),36.150326235,-111.816431031,,,571196.135,222379.531,800.158,800.158,0.011,0.007,,-55°34'11",,0.009,0.01,0.007,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.147,COR065147.294R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_187R,CTH065186.548R,POINT (222364 571155 798.789),36.149957141,-111.816609014,,,571155.167,222363.557,798.789,798.789,0.011,0.007,,-42°04'27",,0.009,0.009,0.007,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.187,COR065186.548R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_244R,CTH065243.645R,POINT (222351 571062 803.063),36.149116949,-111.816747653,,,571061.934,222351.178,803.063,803.063,0.011,0.005,,-4°59'33",,0.011,0.006,0.005,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.244,COR065243.645R,CTH,Horizontal Check,NOT MONUMENTED,False,1
065_003L,CTV065002.803L,POINT (222552 571411 804.003),36.152261536,-111.814509963,,,571411.038,222552.169,804.003,804.003,0.012,0.011,,-46°34'25",,0.011,0.011,0.012,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.003,COR065002.803L,CTV,Vertical Check,NOT MONUMENTED,False,1
065_122R,CTV065122.303R,POINT (222380 571233 803.658),36.150654114,-111.816423871,,,571232.514,222380.137,803.658,803.658,0.007,0.001,,18°24'28",,0.006,0.002,0.001,12/31/2012 12:00:00 AM,TGO,HardPoint,RM064,65.122,COR065122.303R,CTV,Vertical Check,NOT MONUMENTED,False,1
