Alias,PointName,Geom,LatitudeDD,LongitudeDD,LatitudeDMS,LongitudeDMS,Northing,Easting,EllipsoidHeight,Elevation,SemiMajorAxis,SemiMinorAxis,CircularError95,Orientation,HeightError,SigmaX,SigmaY,SigmaZ,AdjustmentDate,AdjustmentSource,Network,RiverNetwork,RiverMile,DatabaseName,PointCode,PointUse,Monumentation,Constrained,SpatialReferenceId
030_567R,CTH030566.521R,POINT (219579 612035 866.256),36.518421445,-111.847225843,,,612035.402,219579.184,866.256,866.256,0.031,0.014,,88°29'44",,0.014,0.031,0.014,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.567,COR030566.521R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_567R,CTH030566.685R,POINT (219604 612035 859.261),36.518420414,-111.846944667,,,612035.305,219604.367,859.261,859.261,0.025,0.013,,45°07'03",,0.02,0.02,0.016,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.567,COR030566.685R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_585R,CTH030585.298R,POINT (219632 612006 856.249),36.518152118,-111.846640077,,,612005.556,219631.668,856.249,856.249,0.025,0.014,,60°56'20",,0.017,0.023,0.016,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.585,COR030585.298R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_603R,CTH030603.099R,POINT (219644 611979 856.23),36.517913455,-111.846503927,,,611979.083,219643.881,856.23,856.23,0.025,0.015,,69°02'38",,0.017,0.024,0.018,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.603,COR030603.099R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_608R,CTH030607.587R,POINT (219639 611972 859.031),36.517850793,-111.846554113,,,611972.127,219639.391,859.031,859.031,0.025,0.016,,68°29'01",,0.018,0.024,0.019,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.608,COR030607.587R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_621R,CTH030620.652R,POINT (219644 611957 857.055),36.517711788,-111.846499899,,,611956.707,219644.258,857.055,857.055,0.025,0.017,,71°35'21",,0.018,0.025,0.021,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.621,COR030620.652R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_629R,CTH030629.322R,POINT (219595 611956 869.646),36.51770849,-111.847049042,,,611956.305,219595.076,869.646,869.646,0.017,0.005,,62°04'42",,0.009,0.016,0.005,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.629,COR030629.322R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_63R,CTH030629.525R,POINT (219593 611957 869.246),36.517711144,-111.847073724,,,611956.598,219592.865,869.246,869.246,0.018,0.005,,65°10'10",,0.009,0.016,0.005,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.63,COR030629.525R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_641R,CTH030641.373R,POINT (219639 611925 856.866),36.517427623,-111.846553548,,,611925.173,219639.476,856.866,856.866,0.025,0.02,,73°00'00",,0.021,0.025,0.024,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.641,COR030641.373R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_663R,CTH030662.873R,POINT (219543 611918 876.15),36.517365362,-111.847635318,,,611918.195,219542.595,876.15,876.15,0.019,0.004,,6°12'21",,0.019,0.005,0.004,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.663,COR030662.873R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_664R,CTH030663.564R,POINT (219544 611917 875.716),36.517351245,-111.847621114,,,611916.629,219543.869,875.716,875.716,0.018,0.004,,9°12'09",,0.018,0.005,0.004,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.664,COR030663.564R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_687L,CTH030687.254L,POINT (219672 611834 859.119),36.516607016,-111.846188244,,,611834.145,219672.26,859.119,859.119,0.031,0.002,,76°14'09",,0.008,0.03,0.002,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.687,COR030687.254L,CTH,Horizontal Check,NOT MONUMENTED,False,1
