Alias,PointName,Geom,LatitudeDD,LongitudeDD,LatitudeDMS,LongitudeDMS,Northing,Easting,EllipsoidHeight,Elevation,SemiMajorAxis,SemiMinorAxis,CircularError95,Orientation,HeightError,SigmaX,SigmaY,SigmaZ,AdjustmentDate,AdjustmentSource,Network,RiverNetwork,RiverMile,DatabaseName,PointCode,PointUse,Monumentation,Constrained,SpatialReferenceId
030_704L,CTH030703.880L,POINT (219664 611809 861.984),36.516377417,-111.846280716,,,611808.663,219663.997,861.984,861.984,0.031,0.001,,66°11'40",,0.013,0.028,0.001,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.704,COR030703.880L,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_718R,CTH030718.299R,POINT (219557 611832 858.01),36.516584828,-111.847478703,,,611831.599,219556.684,858.01,858.01,0.031,0.014,,-6°25'46",,0.031,0.014,0.014,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.718,COR030718.299R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_761R,CTH030760.831R,POINT (219514 611774 864.83),36.516063301,-111.847950588,,,611773.701,219514.462,864.83,864.83,0.031,0.02,,16°21'46",,0.031,0.021,0.02,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.761,COR030760.831R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_761R,CTH030761.478R,POINT (219514 611773 865.023),36.516055924,-111.847958539,,,611772.882,219513.751,865.023,865.023,0.031,0.02,,16°34'12",,0.031,0.021,0.02,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.761,COR030761.478R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_793L,CTH030792.871L,POINT (219589 611681 857.224),36.51522649,-111.847114026,,,611680.905,219589.455,857.224,857.224,0.043,0.026,,-14°08'03",,0.042,0.027,0.051,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.793,COR030792.871L,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_796L,CTH030795.737L,POINT (219581 611680 857.238),36.515218248,-111.847204861,,,611679.984,219581.32,857.238,857.238,0.043,0.026,,-15°04'00",,0.042,0.028,0.052,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.796,COR030795.737L,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_803L,CTH030803.367L,POINT (219576 611669 857.122),36.515123452,-111.847258814,,,611669.462,219576.495,857.122,857.122,0.044,0.026,,-15°17'46",,0.043,0.028,0.053,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.803,COR030803.367L,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_822R,CTH030821.888R,POINT (219501 611673 856.146),36.515156572,-111.8481064,,,611673.083,219500.579,856.146,856.146,0.025,0.007,,1°55'47",,0.025,0.007,0.009,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.822,COR030821.888R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_825R,CTH030824.676R,POINT (219487 611675 862.946),36.515174759,-111.848253269,,,611675.092,219487.423,862.946,862.946,0.032,0.028,,38°26'11",,0.03,0.03,0.028,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.825,COR030824.676R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_827R,CTH030826.872R,POINT (219504 611663 856.467),36.515062971,-111.848063205,,,611662.7,219504.455,856.467,856.467,0.025,0.007,,9°53'51",,0.025,0.008,0.008,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.827,COR030826.872R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_837R,CTH030837.381R,POINT (219505 611643 856.153),36.514888316,-111.84805185,,,611643.321,219505.486,856.153,856.153,0.025,0.007,,23°44'45",,0.023,0.012,0.009,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.837,COR030837.381R,CTH,Horizontal Check,NOT MONUMENTED,False,1
030_63R,CTV030630.254R,POINT (219594 611955 869.268),36.517698018,-111.847064571,,,611955.142,219593.686,869.268,869.268,0.017,0.004,,63°00'17",,0.009,0.016,0.004,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.63,COR030630.254R,CTV,Vertical Check,NOT MONUMENTED,False,1
030_664R,CTV030663.875R,POINT (219542 611917 876.297),36.517350407,-111.847636438,,,611916.535,219542.496,876.297,876.297,0.018,0.004,,8°54'25",,0.018,0.005,0.004,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.664,COR030663.875R,CTV,Vertical Check,NOT MONUMENTED,False,1
030_825R,CTV030825.290R,POINT (219486 611675 863.013),36.515171728,-111.848270501,,,611674.754,219485.88,863.013,863.013,0.032,0.028,,38°15'54",,0.03,0.03,0.028,12/31/2012 12:00:00 AM,TGO,HardPoint,RM030,30.825,COR030825.290R,CTV,Vertical Check,NOT MONUMENTED,False,1
