Alias,PointName,Geom,LatitudeDD,LongitudeDD,LatitudeDMS,LongitudeDMS,Northing,Easting,EllipsoidHeight,Elevation,SemiMajorAxis,SemiMinorAxis,CircularError95,Orientation,HeightError,SigmaX,SigmaY,SigmaZ,AdjustmentDate,AdjustmentSource,Network,RiverNetwork,RiverMile,DatabaseName,PointCode,PointUse,Monumentation,Constrained,SpatialReferenceId
008_851L,CTH008851.223L,POINT (236019 639169 915.961),36.762710303,-111.662864807,,,639169.44382,236019.09037,915.96131,915.96131,0.02454,0.01527,,-58°12'14",,0.018,0.022,0.015,12/31/2012 12:00:00 AM,TGO,HardPoint,RM009,8.851,COR008851.223L,CTH,Horizontal Check,NOT MONUMENTED,False,1
008_853L,CTH008852.656L,POINT (236019 639167 916.28),36.762689697,-111.662870902,,,639167.15582,236018.55234,916.27993,916.27993,0.02454,0.01543,,-58°47'29",,0.018,0.022,0.015,12/31/2012 12:00:00 AM,TGO,HardPoint,RM009,8.853,COR008852.656L,CTH,Horizontal Check,NOT MONUMENTED,False,1
008_853L,CTH008853.363L,POINT (236017 639167 916.426),36.762686058,-111.662891693,,,639166.74718,236016.69715,916.42574,916.42574,0.02454,0.01537,,-59°25'38",,0.018,0.023,0.015,12/31/2012 12:00:00 AM,TGO,HardPoint,RM009,8.853,COR008853.363L,CTH,Horizontal Check,NOT MONUMENTED,False,1
008_854L,CTH008854.028L,POINT (236019 639165 916.144),36.762666961,-111.662868539,,,639164.63362,236018.76999,916.14358,916.14358,0.02455,0.01565,,-59°10'59",,0.018,0.023,0.016,12/31/2012 12:00:00 AM,TGO,HardPoint,RM009,8.854,COR008854.028L,CTH,Horizontal Check,NOT MONUMENTED,False,1
008_909L,CTH008908.599L,POINT (235983 639104 916.698),36.762124508,-111.663270708,,,639104.34653,235983.02413,916.69802,916.69802,0.0246,0.0197,,-76°28'22",,0.02,0.024,0.02,12/31/2012 12:00:00 AM,TGO,HardPoint,RM009,8.909,COR008908.599L,CTH,Horizontal Check,NOT MONUMENTED,False,1
008_931L,CTH008930.961L,POINT (235974 639070 919.911),36.761813049,-111.663377746,,,639069.76107,235973.55922,919.91142,919.91142,0.02464,0.02273,,-80°37'59",,0.023,0.025,0.023,12/31/2012 12:00:00 AM,TGO,HardPoint,RM009,8.931,COR008930.961L,CTH,Horizontal Check,NOT MONUMENTED,False,1
008_932L,CTH008932.354L,POINT (235971 639068 919.575),36.761796192,-111.663402681,,,639067.88468,235971.33802,919.57514,919.57514,0.02464,0.02287,,-81°13'39",,0.023,0.025,0.023,12/31/2012 12:00:00 AM,TGO,HardPoint,RM009,8.932,COR008932.354L,CTH,Horizontal Check,NOT MONUMENTED,False,1
008_934L,CTH008933.556L,POINT (235973 639066 919.835),36.761775685,-111.663383916,,,639065.61356,235973.01932,919.83526,919.83526,0.02465,0.02311,,-80°55'11",,0.023,0.025,0.023,12/31/2012 12:00:00 AM,TGO,HardPoint,RM009,8.934,COR008933.556L,CTH,Horizontal Check,NOT MONUMENTED,False,1
008_932L,CTV008932.195L,POINT (235973 639068 919.894),36.76179529,-111.663380742,,,639067.78977,235973.297,919.89381,919.89381,0.02464,0.02291,,-80°46'18",,0.023,0.025,0.023,12/31/2012 12:00:00 AM,TGO,HardPoint,RM009,8.932,COR008932.195L,CTV,Vertical Check,NOT MONUMENTED,False,1
